record_id,segment,value,tail_pattern
R-00187,standard,187,body
R-00188,standard,188,body
R-00189,standard,189,body
R-00190,priority,190,body
R-00191,standard,191,body
R-00192,standard,192,body
R-00193,standard,193,body
R-00194,standard,194,body
R-00195,priority,195,body
R-00196,standard,196,body
R-00197,standard,197,body
R-00198,standard,198,body
R-00199,standard,199,body
R-00200,priority,200,body
R-00201,standard,201,body
R-00202,standard,202,body
R-00203,standard,203,body
R-00204,standard,204,body
R-00205,priority,205,body
R-00206,standard,206,body
R-00207,standard,207,body
R-00208,standard,208,body
R-00209,standard,209,body
R-00210,priority,210,body
R-00211,standard,211,body
R-00212,standard,212,body
R-00213,standard,213,body
R-00214,standard,214,body
R-00215,priority,215,body
R-00216,standard,216,body
R-00217,standard,217,body
R-00218,standard,218,body
R-00219,standard,219,body
R-00220,priority,220,body
R-00221,standard,221,body
R-00222,standard,222,body
R-00223,standard,223,body
R-00224,standard,224,body
R-00225,priority,225,body
R-00226,standard,226,body
R-00227,standard,227,body
R-00228,standard,228,body
R-00229,standard,229,body
R-00230,priority,230,body
R-00231,standard,231,body
R-00232,standard,232,body
R-00233,standard,233,body
R-00234,standard,234,body
R-00235,priority,235,body
R-00236,standard,236,body
R-00237,standard,237,body
R-00238,standard,238,body
R-00239,standard,239,body
R-00240,priority,240,body
R-00241,standard,241,body
R-00242,standard,242,body
R-00243,standard,243,body
R-00244,standard,244,body
R-00245,priority,245,body
R-00246,standard,246,body
R-00247,standard,247,body
R-00248,standard,248,body
R-00249,standard,249,body
R-00250,priority,250,body
R-00251,standard,251,body
R-00252,standard,252,body
R-00253,standard,253,body
R-00254,standard,254,body
R-00255,priority,255,body
R-00256,standard,256,body
R-00257,standard,257,body
R-00258,standard,258,body
R-00259,standard,259,body
R-00260,priority,260,body
R-00261,standard,261,body
R-00262,standard,262,body
R-00263,standard,263,body
R-00264,standard,264,body
R-00265,priority,265,body
R-00266,standard,266,body
R-00267,standard,267,body
R-00268,standard,268,body
R-00269,standard,269,body
R-00270,priority,270,body
R-00271,standard,271,body
R-00272,standard,272,body
R-00273,standard,273,body
R-00274,standard,274,body
R-00275,priority,275,body
R-00276,standard,276,body
R-00277,standard,277,body
R-00278,standard,278,body
R-00279,standard,279,body
R-00280,priority,280,body
R-00281,standard,281,body
R-00282,standard,282,body
R-00283,standard,283,body
R-00284,standard,284,body
R-00285,priority,285,body
R-00286,standard,286,body
R-00287,standard,287,body
R-00288,standard,288,body
R-00289,standard,289,body
R-00290,priority,290,body
R-00291,standard,291,body
R-00292,standard,292,body
R-00293,standard,293,body
R-00294,standard,294,body
R-00295,priority,295,body
R-00296,standard,296,body
R-00297,standard,297,body
R-00298,standard,298,body
R-00299,standard,299,body
R-00300,priority,300,body
R-00301,standard,301,body
R-00302,standard,302,body
R-00303,standard,303,body
R-00304,standard,304,body
R-00305,priority,305,body
R-00306,standard,306,body
R-00307,standard,307,body
R-00308,standard,308,body
R-00309,standard,309,body
R-00310,priority,310,body
R-00311,standard,311,body
R-00312,standard,312,body
R-00313,standard,313,body
R-00314,standard,314,body
R-00315,priority,315,body
R-00316,standard,316,body
R-00317,standard,317,body
R-00318,standard,318,body
R-00319,standard,319,body
R-00320,priority,320,body
R-00321,standard,321,body
R-00322,standard,322,body
R-00323,standard,323,body
R-00324,standard,324,body
R-00325,priority,325,body
R-00326,standard,326,body
R-00327,standard,327,body
R-00328,standard,328,body
R-00329,standard,329,body
R-00330,priority,330,body
R-00331,standard,331,body
R-00332,standard,332,body
R-00333,standard,333,body
R-00334,standard,334,body
R-00335,priority,335,body
R-00336,standard,336,body
R-00337,standard,337,body
R-00338,standard,338,body
R-00339,standard,339,body
R-00340,priority,340,body
R-00341,standard,341,body
R-00342,standard,342,body
R-00343,standard,343,body
R-00344,standard,344,body
R-00345,priority,345,body
R-00346,standard,346,body
R-00347,standard,347,body
R-00348,standard,348,body
R-00349,standard,349,body
R-00350,priority,350,body
R-00351,standard,351,body
R-00352,standard,352,body
R-00353,standard,353,body
R-00354,standard,354,body
R-00355,priority,355,body
R-00356,standard,356,body
R-00357,standard,357,body
R-00358,standard,358,body
R-00359,standard,359,body
R-00360,priority,360,body
R-00361,standard,361,body
R-00362,standard,362,body
R-00363,standard,363,body
R-00364,standard,364,body
R-00365,priority,365,body
R-00366,standard,366,body
R-00367,standard,367,body
R-00368,standard,368,body
R-00369,standard,369,body
R-00370,priority,370,body
R-00371,standard,371,body
R-00372,standard,372,body
R-00373,standard,373,body
R-00374,standard,374,body
R-00375,priority,375,body
R-00376,standard,376,body
R-00377,standard,377,body
R-00378,standard,378,body
R-00379,standard,379,body
R-00380,priority,380,body
R-00381,standard,381,body
R-00382,standard,382,body
R-00383,standard,383,body
R-00384,standard,384,body
R-00385,priority,385,body
R-00386,standard,386,body
R-00387,standard,387,body
R-00388,standard,388,body
R-00389,standard,389,body
R-00390,priority,390,body
R-00391,standard,391,body
R-00392,standard,392,body
R-00393,standard,393,body
R-00394,standard,394,body
R-00395,priority,395,body
R-00396,standard,396,body
R-00397,standard,397,body
R-00398,standard,398,body
R-00399,standard,399,body
R-00400,priority,400,body
R-00401,standard,401,body
R-00402,standard,402,body
R-00403,standard,403,body
R-00404,standard,404,body
R-00405,priority,405,body
R-00406,standard,406,body
R-00407,standard,407,body
R-00408,standard,408,body
R-00409,standard,409,body
R-00410,priority,410,body
R-00411,standard,411,body
R-00412,standard,412,body
R-00413,standard,413,body
R-00414,standard,414,body
R-00415,priority,415,body
R-00416,standard,416,body
R-00417,standard,417,body
R-00418,standard,418,body
R-00419,standard,419,body
R-00420,priority,420,body
R-00421,standard,421,body
R-00422,standard,422,body
R-00423,standard,423,body
R-00424,standard,424,body
R-00425,priority,425,body
R-00426,standard,426,body
R-00427,standard,427,body
R-00428,standard,428,body
R-00429,standard,429,body
R-00430,priority,430,body
R-00431,standard,431,body
R-00432,standard,432,body
R-00433,standard,433,body
R-00434,standard,434,body
R-00435,priority,435,body
R-00436,standard,436,body
R-00437,standard,437,body
R-00438,standard,438,body
R-00439,standard,439,body
R-00440,priority,440,body
R-00441,standard,441,body
R-00442,standard,442,body
R-00443,standard,443,body
R-00444,standard,444,body
R-00445,priority,445,body
R-00446,standard,446,body
R-00447,standard,447,body
R-00448,standard,448,body
R-00449,standard,449,body
R-00450,priority,450,body
R-00451,standard,451,body
R-00452,standard,452,body
R-00453,standard,453,body
R-00454,standard,454,body
R-00455,priority,455,body
R-00456,standard,456,body
R-00457,standard,457,body
R-00458,standard,458,body
R-00459,standard,459,body
R-00460,priority,460,body
R-00461,standard,461,body
R-00462,standard,462,body
R-00463,standard,463,body
R-00464,standard,464,body
R-00465,priority,465,body
R-00466,standard,466,body
R-00467,standard,467,body
R-00468,standard,468,body
R-00469,standard,469,body
R-00470,priority,470,body
R-00471,standard,471,body
R-00472,standard,472,body
R-00473,standard,473,body
R-00474,standard,474,body
R-00475,priority,475,body
R-00476,standard,476,body
R-00477,standard,477,body
R-00478,standard,478,body
R-00479,standard,479,body
R-00480,priority,480,body
R-00481,standard,481,body
R-00482,standard,482,body
R-00483,standard,483,body
R-00484,standard,484,body
R-00485,priority,485,body
R-00486,standard,486,body
R-00487,standard,487,body
R-00488,standard,488,body
R-00489,standard,489,body
R-00490,priority,490,body
R-00491,standard,491,body
R-00492,standard,492,body
R-00493,standard,493,body
R-00494,standard,494,body
R-00495,priority,495,body
R-00496,standard,496,body
R-00497,standard,497,body
R-00498,standard,498,body
R-00499,standard,499,body
R-00500,priority,500,body
R-00501,standard,501,body
R-00502,standard,502,body
R-00503,standard,503,body
R-00504,standard,504,body
R-00505,priority,505,body
R-00506,standard,506,body
R-00507,standard,507,body
R-00508,standard,508,body
R-00509,standard,509,body
R-00510,priority,510,body
R-00511,standard,511,body
R-00512,standard,512,body
R-00513,standard,513,body
R-00514,standard,514,body
R-00515,priority,515,body
R-00516,standard,516,body
R-00517,standard,517,body
R-00518,standard,518,body
R-00519,standard,519,body
R-00520,priority,520,body
R-00521,standard,521,body
R-00522,standard,522,body
R-00523,standard,523,body
R-00524,standard,524,body
R-00525,priority,525,body
R-00526,standard,526,body
R-00527,standard,527,body
R-00528,standard,528,body
R-00529,standard,529,body
R-00530,priority,530,body
R-00531,standard,531,body
R-00532,standard,532,body
R-00533,standard,533,body
R-00534,standard,534,body
R-00535,priority,535,body
R-00536,standard,536,body
R-00537,standard,537,body
R-00538,standard,538,body
R-00539,standard,539,body
R-00540,priority,540,body
R-00541,standard,541,body
R-00542,standard,542,body
R-00543,standard,543,body
R-00544,standard,544,body
R-00545,priority,545,body
R-00546,standard,546,body
R-00547,standard,547,body
R-00548,standard,548,body
R-00549,standard,549,body
R-00550,priority,550,body
R-00551,standard,551,body
R-00552,standard,552,body
R-00553,standard,553,body
R-00554,standard,554,body
R-00555,priority,555,body
R-00556,standard,556,body
R-00557,standard,557,body
R-00558,standard,558,body
R-00559,standard,559,body
R-00560,priority,560,body
R-00561,standard,561,body
R-00562,standard,562,body
R-00563,standard,563,body
R-00564,standard,564,body
R-00565,priority,565,body
R-00566,standard,566,body
R-00567,standard,567,body
R-00568,standard,568,body
R-00569,standard,569,body
R-00570,priority,570,body
R-00571,standard,571,body
R-00572,standard,572,body
R-00573,standard,573,body
R-00574,standard,574,body
R-00575,priority,575,body
R-00576,standard,576,body
R-00577,standard,577,body
R-00578,standard,578,body
R-00579,standard,579,body
R-00580,priority,580,body
R-00581,standard,581,body
R-00582,standard,582,body
R-00583,standard,583,body
R-00584,standard,584,body
R-00585,priority,585,body
R-00586,standard,586,body
R-00587,standard,587,body
R-00588,standard,588,body
R-00589,standard,589,body
R-00590,priority,590,body
R-00591,standard,591,body
R-00592,standard,592,body
R-00593,standard,593,body
R-00594,standard,594,body
R-00595,priority,595,body
R-00596,standard,596,body
R-00597,standard,597,body
R-00598,standard,598,body
R-00599,standard,599,body
R-00600,priority,600,body
R-00601,standard,601,body
R-00602,standard,602,body
R-00603,standard,603,body
R-00604,standard,604,body
R-00605,priority,605,body
R-00606,standard,606,body
R-00607,standard,607,body
R-00608,standard,608,body
R-00609,standard,609,body
R-00610,priority,610,body
R-00611,standard,611,body
R-00612,standard,612,body
R-00613,standard,613,body
R-00614,standard,614,body
R-00615,priority,615,body
R-00616,standard,616,body
R-00617,standard,617,body
R-00618,standard,618,body
R-00619,standard,619,body
R-00620,priority,620,body
R-00621,standard,621,body
R-00622,standard,622,body
R-00623,standard,623,body
R-00624,standard,624,body
R-00625,priority,625,body
R-00626,standard,626,body
R-00627,standard,627,body
R-00628,standard,628,body
R-00629,standard,629,body
R-00630,priority,630,body
R-00631,standard,631,body
R-00632,standard,632,body
R-00633,standard,633,body
R-00634,standard,634,body
R-00635,priority,635,body
R-00636,standard,636,body
R-00637,standard,637,body
R-00638,standard,638,body
R-00639,standard,639,body
R-00640,priority,640,body
R-00641,standard,641,body
R-00642,standard,642,body
R-00643,standard,643,body
R-00644,standard,644,body
R-00645,priority,645,body
R-00646,standard,646,body
R-00647,standard,647,body
R-00648,standard,648,body
R-00649,standard,649,body
R-00650,priority,650,body
R-00651,standard,651,body
R-00652,standard,652,body
R-00653,standard,653,body
R-00654,standard,654,body
R-00655,priority,655,body
R-00656,standard,656,body
R-00657,standard,657,body
R-00658,standard,658,body
R-00659,standard,659,body
R-00660,priority,660,body
R-00661,standard,661,body
R-00662,standard,662,body
R-00663,standard,663,body
R-00664,standard,664,body
R-00665,priority,665,body
R-00666,standard,666,body
R-00667,standard,667,body
R-00668,standard,668,body
R-00669,standard,669,body
R-00670,priority,670,body
R-00671,standard,671,body
R-00672,standard,672,body
R-00673,standard,673,body
R-00674,standard,674,body
R-00675,priority,675,body
R-00676,standard,676,body
R-00677,standard,677,body
R-00678,standard,678,body
R-00679,standard,679,body
R-00680,priority,680,body
R-00681,standard,681,body
R-00682,standard,682,body
R-00683,standard,683,body
R-00684,standard,684,body
R-00685,priority,685,body
R-00686,standard,686,body
R-00687,standard,687,body
R-00688,standard,688,body
R-00689,standard,689,body
R-00690,priority,690,body
R-00691,standard,691,body
R-00692,standard,692,body
R-00693,standard,693,body
R-00694,standard,694,body
R-00695,priority,695,body
R-00696,standard,696,body
R-00697,standard,697,body
R-00698,standard,698,body
R-00699,standard,699,body
R-00700,priority,700,body
R-00701,standard,701,body
R-00702,standard,702,body
R-00703,standard,703,body
R-00704,standard,704,body
R-00705,priority,705,body
R-00706,standard,706,body
R-00707,standard,707,body
R-00708,standard,708,body
R-00709,standard,709,body
R-00710,priority,710,body
R-00711,standard,711,body
R-00712,standard,712,body
R-00713,standard,713,body
R-00714,standard,714,body
R-00715,priority,715,body
R-00716,standard,716,body
R-00717,standard,717,body
R-00718,standard,718,body
R-00719,standard,719,body
R-00720,priority,720,body
R-00721,standard,721,body
R-00722,standard,722,body
R-00723,standard,723,body
R-00724,standard,724,body
R-00725,priority,725,body
R-00726,standard,726,body
R-00727,standard,727,body
R-00728,standard,728,body
R-00729,standard,729,body
R-00730,priority,730,body
R-00731,standard,731,body
R-00732,standard,732,body
R-00733,standard,733,body
R-00734,standard,734,body
R-00735,priority,735,body
R-00736,standard,736,body
R-00737,standard,737,body
R-00738,standard,738,body
R-00739,standard,739,body
R-00740,priority,740,body
R-00741,standard,741,body
R-00742,standard,742,body
R-00743,standard,743,body
R-00744,standard,744,body
R-00745,priority,745,body
R-00746,standard,746,body
R-00747,standard,747,body
R-00748,standard,748,body
R-00749,standard,749,body
R-00750,priority,750,body
R-00751,standard,751,body
R-00752,standard,752,body
R-00753,standard,753,body
R-00754,standard,754,body
R-00755,priority,755,body
R-00756,standard,756,body
R-00757,standard,757,body
R-00758,standard,758,body
R-00759,standard,759,body
R-00760,priority,760,body
R-00761,standard,761,body
R-00762,standard,762,body
R-00763,standard,763,body
R-00764,standard,764,body
R-00765,priority,765,body
R-00766,standard,766,body
R-00767,standard,767,body
R-00768,standard,768,body
R-00769,standard,769,body
R-00770,priority,770,body
R-00771,standard,771,body
R-00772,standard,772,body
R-00773,standard,773,body
R-00774,standard,774,body
R-00775,priority,775,body
R-00776,standard,776,body
R-00777,standard,777,body
R-00778,standard,778,body
R-00779,standard,779,body
R-00780,priority,780,body
R-00781,standard,781,body
R-00782,standard,782,body
R-00783,standard,783,body
R-00784,standard,784,body
R-00785,priority,785,body
R-00786,standard,786,body
R-00787,standard,787,body
R-00788,standard,788,body
R-00789,standard,789,body
R-00790,priority,790,body
R-00791,standard,791,body
R-00792,standard,792,body
R-00793,standard,793,body
R-00794,standard,794,body
R-00795,priority,795,body
R-00796,standard,796,body
R-00797,standard,797,body
R-00798,standard,798,body
R-00799,standard,799,body
R-00800,priority,800,body
R-00801,standard,801,body
R-00802,standard,802,body
R-00803,standard,803,body
R-00804,standard,804,body
R-00805,priority,805,body
R-00806,standard,806,body
R-00807,standard,807,body
R-00808,standard,808,body
R-00809,standard,809,body
R-00810,priority,810,body
R-00811,standard,811,body
R-00812,standard,812,body
R-00813,standard,813,body
R-00814,standard,814,body
R-00815,priority,815,body
R-00816,standard,816,body
R-00817,standard,817,body
R-00818,standard,818,body
R-00819,standard,819,body
R-00820,priority,820,body
R-00821,standard,821,body
R-00822,standard,822,body
R-00823,standard,823,body
R-00824,standard,824,body
R-00825,priority,825,body
R-00826,standard,826,body
R-00827,standard,827,body
R-00828,standard,828,body
R-00829,standard,829,body
R-00830,priority,830,body
R-00831,standard,831,body
R-00832,standard,832,body
R-00833,standard,833,body
R-00834,standard,834,body
R-00835,priority,835,body
R-00836,standard,836,body
R-00837,standard,837,body
R-00838,standard,838,body
R-00839,standard,839,body
R-00840,priority,840,body
R-00841,standard,841,body
R-00842,standard,842,body
R-00843,standard,843,body
R-00844,standard,844,body
R-00845,priority,845,body
R-00846,standard,846,body
R-00847,standard,847,body
R-00848,standard,848,body
R-00849,standard,849,body
R-00850,priority,850,body
R-00851,standard,851,body
R-00852,standard,852,body
R-00853,standard,853,body
R-00854,standard,854,body
R-00855,priority,855,body
R-00856,standard,856,body
R-00857,standard,857,body
R-00858,standard,858,body
R-00859,standard,859,body
R-00860,priority,860,body
R-00861,standard,861,body
R-00862,standard,862,body
R-00863,standard,863,body
R-00864,standard,864,body
R-00865,priority,865,body
R-00866,standard,866,body
R-00867,standard,867,body
R-00868,standard,868,body
R-00869,standard,869,body
R-00870,priority,870,body
R-00871,standard,871,body
R-00872,standard,872,body
R-00873,standard,873,body
R-00874,standard,874,body
R-00875,priority,875,body
R-00876,standard,876,body
R-00877,standard,877,body
R-00878,standard,878,body
R-00879,standard,879,body
R-00880,priority,880,body
R-00881,standard,881,body
R-00882,standard,882,body
R-00883,standard,883,body
R-00884,standard,884,body
R-00885,priority,885,body
R-00886,standard,886,body
R-00887,standard,887,body
R-00888,standard,888,body
R-00889,standard,889,body
R-00890,priority,890,body
R-00891,standard,891,body
R-00892,standard,892,body
R-00893,standard,893,body
R-00894,standard,894,body
R-00895,priority,895,body
R-00896,standard,896,body
R-00897,standard,897,body
R-00898,standard,898,body
R-00899,standard,899,body
R-00900,priority,900,body
R-00901,standard,901,body
R-00902,standard,902,body
R-00903,standard,903,body
R-00904,standard,904,body
R-00905,priority,905,body
R-00906,standard,906,body
R-00907,standard,907,body
R-00908,standard,908,body
R-00909,standard,909,body
R-00910,priority,910,body
R-00911,standard,911,body
R-00912,standard,912,body
R-00913,standard,913,body
R-00914,standard,914,body
R-00915,priority,915,body
R-00916,standard,916,body
R-00917,standard,917,body
R-00918,standard,918,body
R-00919,standard,919,body
R-00920,priority,920,body
R-00921,standard,921,body
R-00922,standard,922,body
R-00923,standard,923,body
R-00924,standard,924,body
R-00925,priority,925,body
R-00926,standard,926,body
R-00927,standard,927,body
R-00928,standard,928,body
R-00929,standard,929,body
R-00930,priority,930,body
R-00931,standard,931,body
R-00932,standard,932,body
R-00933,standard,933,body
R-00934,standard,934,body
R-00935,priority,935,body
R-00936,standard,936,body
R-00937,standard,937,body
R-00938,standard,938,body
R-00939,standard,939,body
R-00940,priority,940,body
R-00941,standard,941,body
R-00942,standard,942,body
R-00943,standard,943,body
R-00944,standard,944,body
R-00945,priority,945,body
R-00946,standard,946,body
R-00947,standard,947,body
R-00948,standard,948,body
R-00949,standard,949,body
R-00950,priority,950,body
R-00951,standard,951,body
R-00952,standard,952,body
R-00953,standard,953,body
R-00954,standard,954,body
R-00955,priority,955,body
R-00956,standard,956,body
R-00957,standard,957,body
R-00958,standard,958,body
R-00959,standard,959,body
R-00960,priority,960,body
R-00961,standard,961,body
R-00962,standard,962,body
R-00963,standard,963,body
R-00964,standard,964,body
R-00965,priority,965,body
R-00966,standard,966,body
R-00967,standard,967,body
R-00968,standard,968,body
R-00969,standard,969,body
R-00970,priority,970,body
R-00971,standard,971,body
R-00972,standard,972,body
R-00973,standard,973,body
R-00974,standard,974,body
R-00975,priority,975,body
R-00976,standard,976,body
R-00977,standard,977,body
R-00978,standard,978,body
R-00979,standard,979,body
R-00980,priority,980,body
R-00981,standard,981,body
R-00982,standard,982,body
R-00983,standard,983,body
R-00984,standard,984,body
R-00985,priority,985,body
R-00986,standard,986,body
R-00987,standard,987,body
R-00988,standard,988,body
R-00989,standard,989,body
R-00990,priority,990,body
R-00991,standard,991,body
R-00992,standard,992,body
R-00993,standard,993,body
R-00994,standard,994,body
R-00995,priority,995,body
R-00996,standard,996,body
R-00997,standard,997,body
R-00998,standard,998,body
R-00999,standard,999,body
R-01000,priority,0,body
R-01001,standard,1,body
R-01002,standard,2,body
R-01003,standard,3,body
R-01004,standard,4,body
R-01005,priority,5,body
R-01006,standard,6,body
R-01007,standard,7,body
R-01008,standard,8,body
R-01009,standard,9,body
R-01010,priority,10,body
R-01011,standard,11,body
R-01012,standard,12,body
R-01013,standard,13,body
R-01014,standard,14,body
R-01015,priority,15,body
R-01016,standard,16,body
R-01017,standard,17,body
R-01018,standard,18,body
R-01019,standard,19,body
R-01020,priority,20,body
R-01021,standard,21,body
R-01022,standard,22,body
R-01023,standard,23,body
R-01024,standard,24,body
R-01025,priority,25,body
R-01026,standard,26,body
R-01027,standard,27,body
R-01028,standard,28,body
R-01029,standard,29,body
R-01030,priority,30,body
R-01031,standard,31,body
R-01032,standard,32,body
R-01033,standard,33,body
R-01034,standard,34,body
R-01035,priority,35,body
R-01036,standard,36,body
R-01037,standard,37,body
R-01038,standard,38,body
R-01039,standard,39,body
R-01040,priority,40,body
R-01041,standard,41,body
R-01042,standard,42,body
R-01043,standard,43,body
R-01044,standard,44,body
R-01045,priority,45,body
R-01046,standard,46,body
R-01047,standard,47,body
R-01048,standard,48,body
R-01049,standard,49,body
R-01050,priority,50,body
R-01051,standard,51,body
R-01052,standard,52,body
R-01053,standard,53,body
R-01054,standard,54,body
R-01055,priority,55,body
R-01056,standard,56,body
R-01057,standard,57,body
R-01058,standard,58,body
R-01059,standard,59,body
R-01060,priority,60,body
R-01061,standard,61,body
R-01062,standard,62,body
R-01063,standard,63,body
R-01064,standard,64,body
R-01065,priority,65,body
R-01066,standard,66,body
R-01067,standard,67,body
R-01068,standard,68,body
R-01069,standard,69,body
R-01070,priority,70,body
R-01071,standard,71,body
R-01072,standard,72,body
R-01073,standard,73,body
R-01074,standard,74,body
R-01075,priority,75,body
R-01076,standard,76,body
R-01077,standard,77,body
R-01078,standard,78,body
R-01079,standard,79,body
R-01080,priority,80,body
R-01081,standard,81,body
R-01082,standard,82,body
R-01083,standard,83,body
R-01084,standard,84,body
R-01085,priority,85,body
R-01086,standard,86,body
R-01087,standard,87,body
R-01088,standard,88,body
R-01089,standard,89,body
R-01090,priority,90,body
R-01091,standard,91,body
R-01092,standard,92,body
R-01093,standard,93,body
R-01094,standard,94,body
R-01095,priority,95,body
R-01096,standard,96,body
R-01097,standard,97,body
R-01098,standard,98,body
R-01099,standard,99,body
R-01100,priority,100,body
R-01101,standard,101,body
R-01102,standard,102,body
R-01103,standard,103,body
R-01104,standard,104,body
R-01105,priority,105,body
R-01106,standard,106,body
R-01107,standard,107,body
R-01108,standard,108,body
R-01109,standard,109,body
R-01110,priority,110,body
R-01111,standard,111,body
R-01112,standard,112,body
R-01113,standard,113,body
R-01114,standard,114,body
R-01115,priority,115,body
R-01116,standard,116,body
R-01117,standard,117,body
R-01118,standard,118,body
R-01119,standard,119,body
R-01120,priority,120,body
R-01121,standard,121,body
R-01122,standard,122,body
R-01123,standard,123,body
R-01124,standard,124,body
R-01125,priority,125,body
R-01126,standard,126,body
R-01127,standard,127,body
R-01128,standard,128,body
R-01129,standard,129,body
R-01130,priority,130,body
R-01131,standard,131,body
R-01132,standard,132,body
R-01133,standard,133,body
R-01134,standard,134,body
R-01135,priority,135,body
R-01136,standard,136,body
R-01137,standard,137,body
R-01138,standard,138,body
R-01139,standard,139,body
R-01140,priority,140,body
R-01141,standard,141,body
R-01142,standard,142,body
R-01143,standard,143,body
R-01144,standard,144,body
R-01145,priority,145,body
R-01146,standard,146,body
R-01147,standard,147,body
R-01148,standard,148,body
R-01149,standard,149,body
R-01150,priority,150,body
R-01151,standard,151,body
R-01152,standard,152,body
R-01153,standard,153,body
R-01154,standard,154,body
R-01155,priority,155,body
R-01156,standard,156,body
R-01157,standard,157,body
R-01158,standard,158,body
R-01159,standard,159,body
R-01160,priority,160,body
R-01161,standard,161,body
R-01162,standard,162,body
R-01163,standard,163,body
